# benders_position_y_set	index0_set	index1_set	daq_ai_voltage
# "y position"	"index0"	"index1"	"Voltage"
# 50	4	50
-1.43877551020408	0	25	0.0315492789418475
-1.43877551020408	0	26	0.0917443289895366
-1.43877551020408	0	27	0.151979043199628
-1.43877551020408	0	28	0.212201079928513
-1.43877551020408	0	29	0.272419260510612
-1.43877551020408	0	30	0.332476171681881
-1.43877551020408	0	31	0.392562836096013
-1.43877551020408	0	32	0.452719751098457
-1.43877551020408	0	33	0.512963270770907
-1.43877551020408	0	34	0.573092201934271
-1.43877551020408	0	35	0.633236855004122
-1.43877551020408	0	36	0.693389698246678
-1.43877551020408	0	37	0.753471542562587
-1.43877551020408	0	38	0.813709980003971
-1.43877551020408	0	39	0.873794303023678
-1.43877551020408	0	40	0.933817802356843
-1.43877551020408	0	41	0.993748416561801
-1.43877551020408	0	42	1.0537975779691
-1.43877551020408	0	43	1.11391957624057
-1.43877551020408	0	44	1.17403573718414
-1.43877551020408	0	45	1.23402689005403
-1.43877551020408	0	46	1.29479786577329
-1.43877551020408	0	47	1.35481681546042
-1.43877551020408	0	48	1.41486295988396
-1.43877551020408	0	49	1.47502856011258

-1.43877551020408	1	0	-1.43773666957761
-1.43877551020408	1	1	-1.43796020487527
-1.43877551020408	1	2	-1.43819384819213
-1.43877551020408	1	3	-1.43840708232454
-1.43877551020408	1	4	-1.43863692708711
-1.43877551020408	1	5	-1.43886458285222
-1.43877551020408	1	6	-1.43909713167142
-1.43877551020408	1	7	-1.43931558077011
-1.43877551020408	1	8	-1.43955154185108
-1.43877551020408	1	9	-1.43976175001761
-1.43877551020408	1	10	-1.43999140163506
-1.43877551020408	1	11	-1.4402215683111
-1.43877551020408	1	12	-1.44043860100085
-1.43877551020408	1	13	-1.44066793070774
-1.43877551020408	1	14	-1.44090196032188
-1.43877551020408	1	15	-1.44111918615933
-1.43877551020408	1	16	-1.44135682118216
-1.43877551020408	1	17	-1.44157082790578
-1.43877551020408	1	18	-1.44181110260303
-1.43877551020408	1	19	-1.44204307198547
-1.43877551020408	1	20	-1.4422861151217
-1.43877551020408	1	21	-1.44251254762799
-1.43877551020408	1	22	-1.44274110475008
-1.43877551020408	1	23	-1.44296051958756
-1.43877551020408	1	24	-1.4431957724682
-1.43877551020408	1	25	-1.44341010110547
-1.43877551020408	1	26	-1.4436469635439
-1.43877551020408	1	27	-1.44387326728735
-1.43877551020408	1	28	-1.44411547345633
-1.43877551020408	1	29	-1.44433070344676
-1.43877551020408	1	30	-1.44457110691228
-1.43877551020408	1	31	-1.4448219403089
-1.43877551020408	1	32	-1.44503633333042
-1.43877551020408	1	33	-1.44526656439527
-1.43877551020408	1	34	-1.44549570096149
-1.43877551020408	1	35	-1.44573391543076
-1.43877551020408	1	36	-1.44595506859375
-1.43877551020408	1	37	-1.44619708161871
-1.43877551020408	1	38	-1.44643870835023
-1.43877551020408	1	39	-1.44666205051193
-1.43877551020408	1	40	-1.44690000745362
-1.43877551020408	1	41	-1.44714832994424
-1.43877551020408	1	42	-1.44738242394919
-1.43877551020408	1	43	-1.44761323445767
-1.43877551020408	1	44	-1.44783187671369
-1.43877551020408	1	45	-1.44806532689665
-1.43877551020408	1	46	-1.4482873170323
-1.43877551020408	1	47	-1.44852263430227
-1.43877551020408	1	48	-1.44876529115363
-1.43877551020408	1	49	-1.44898637993809

-1.43877551020408	2	0	0.00679791358613477
-1.43877551020408	2	1	0.00697245337788151
-1.43877551020408	2	2	0.00716437632859156
-1.43877551020408	2	3	0.00745171350707967
-1.43877551020408	2	4	0.00742699079218661
-1.43877551020408	2	5	0.00770106526435648
-1.43877551020408	2	6	0.007819335127017
-1.43877551020408	2	7	0.00784528110124871
-1.43877551020408	2	8	0.00744920260634715
-1.43877551020408	2	9	0.00742351416040437
-1.43877551020408	2	10	0.00744521091800553
-1.43877551020408	2	11	0.00740304066213497
-1.43877551020408	2	12	0.00743787136202224
-1.43877551020408	2	13	0.00742126078795236
-1.43877551020408	2	14	0.00742950169291804
-1.43877551020408	2	15	0.00745139159672789
-1.43877551020408	2	16	0.00740020785105626
-1.43877551020408	2	17	0.00742563876871781
-1.43877551020408	2	18	0.00743143315501889
-1.43877551020408	2	19	0.00744179866829513
-1.43877551020408	2	20	0.00745956811962187
-1.43877551020408	2	21	0.00742132517002641
-1.43877551020408	2	22	0.00746671452939417
-1.43877551020408	2	23	0.00744611226698668
-1.43877551020408	2	24	0.00742061696725504
-1.43877551020408	2	25	0.0074406397910315
-1.43877551020408	2	26	0.00741269797264018
-1.43877551020408	2	27	0.00744141237587494
-1.43877551020408	2	28	0.00742666888183749
-1.43877551020408	2	29	0.00743645495648185
-1.43877551020408	2	30	0.00745615586991008
